Company Name,TIDM,Sector,Country of Incorporation,LSE Market
Babcock International Group Plc,BAB,Industrial Goods and Services,United Kingdom,MAIN MARKET
Bae Systems Plc,BA.,Industrial Goods and Services,United Kingdom,MAIN MARKET
Baillie Gifford China Growth Trust Plc,BGCG,Financial Services ,United Kingdom,MAIN MARKET
Baillie Gifford European Growth Trust Plc,BGEU,Financial Services ,United Kingdom,MAIN MARKET
Baillie Gifford Japan Trust Plc,BGFD,Financial Services ,United Kingdom,MAIN MARKET
Baillie Gifford Shin Nippon Plc,BGS,Financial Services ,United Kingdom,MAIN MARKET
Baillie Gifford Uk Growth Trust Plc,BGUK,Financial Services ,United Kingdom,MAIN MARKET
Baillie Gifford Us Growth Trust Plc,USA,Financial Services ,United Kingdom,MAIN MARKET
Baker Steel Resources Trust Limited,BSRT,Financial Services ,Guernsey,MAIN MARKET
Bakkavor Group Plc,BAKK,"Food, Beverage and Tobacco ",United Kingdom,MAIN MARKET
Balanced Commercial Property Trust Limited,BCPT,Real Estate ,Guernsey,MAIN MARKET
Balfour Beatty Plc,BBY,Construction and Materials,United Kingdom,MAIN MARKET
Baltic Classifieds Group Plc,BCG,Technology,United Kingdom,MAIN MARKET
Banco Bilbao Vizcaya Argentaria S.A.,BVA,Banks,Spain,MAIN MARKET
Banco Santander S.A.,BNC,Banks,Spain,MAIN MARKET
Bank Of Cyprus Holdings Public Limited Company,BOCH,Banks,Ireland,MAIN MARKET
Bank Of Georgia Group Plc,BGEO,Banks,United Kingdom,MAIN MARKET
Bank Of Ireland (Governor & Company Of The),BKIC,Banks,Ireland,MAIN MARKET
Bank Of Ireland (Governor & Company Of The),BKIE,Banks,Ireland,MAIN MARKET
Bank Of Ireland Group Plc,BIRG,Banks,Ireland,MAIN MARKET
Bankers Investment Trust Plc,BNKR,Financial Services ,United Kingdom,MAIN MARKET
Barclays Plc,BARC,Banks,United Kingdom,MAIN MARKET
Barings Emerging Emea Opportunities Plc,BEMO,Financial Services ,United Kingdom,MAIN MARKET
Baronsmead Second Venture Trust Plc,BMD,Financial Services ,United Kingdom,MAIN MARKET
Baronsmead Venture Trust Plc,BVT,Financial Services ,United Kingdom,MAIN MARKET
Barr (A.G.) Plc,BAG,"Food, Beverage and Tobacco ",United Kingdom,MAIN MARKET
