Company Name,TIDM,Sector,Country of Incorporation,LSE Market
Motorpoint Group Plc,MOTR,Retail ,United Kingdom,MAIN MARKET
Mountview Estates Plc,MTVW,Real Estate ,United Kingdom,MAIN MARKET
Murray Income Trust Plc,MUT,Financial Services ,United Kingdom,MAIN MARKET
Murray International Trust Plc,MYI,Financial Services ,United Kingdom,MAIN MARKET
Mustang Energy Plc,MUST,Financial Services ,United Kingdom,MAIN MARKET
Nanoco Group Plc,NANO,Technology,United Kingdom,MAIN MARKET
Narf Industries Plc,NARF,Financial Services ,United Kingdom,MAIN MARKET
National Grid Plc,NG.,Utilities,United Kingdom,MAIN MARKET
National World Plc,NWOR,Media,United Kingdom,MAIN MARKET
Nationwide Building Society,NBS,Banks,United Kingdom,MAIN MARKET
Natwest Group Plc,NWG,Banks,United Kingdom,MAIN MARKET
Nb Global Monthly Income Fund Limited,NBMI,Financial Services ,Guernsey,MAIN MARKET
Nb Private Equity Partners Limited,NBPE,Financial Services ,Guernsey,MAIN MARKET
Nb Private Equity Partners Limited,NBPU,Financial Services ,Guernsey,MAIN MARKET
Ncc Group Plc,NCC,Technology,United Kingdom,MAIN MARKET
Neo Energy Metals Plc,NEO,Financial Services ,United Kingdom,MAIN MARKET
Net Zero Infrastructure Plc,NZI,Financial Services ,United Kingdom,MAIN MARKET
Network International Holdings Plc,NETW,Industrial Goods and Services,United Kingdom,MAIN MARKET
New Century Aim Vct 2 Plc,NCA2,Financial Services ,United Kingdom,MAIN MARKET
New Energy One Acquisition Corporation Plc,NEOA,Financial Services ,United Kingdom,MAIN MARKET
New Star Investment Trust Plc,NSI,Financial Services ,United Kingdom,MAIN MARKET
Newriver Reit Plc,NRR,Real Estate ,United Kingdom,MAIN MARKET
Next Plc,NXT,Retail ,United Kingdom,MAIN MARKET
Nextenergy Solar Fund Limited,NESF,Financial Services ,Guernsey,MAIN MARKET
Ninety One Plc,N91,Financial Services ,United Kingdom,MAIN MARKET
Nippon Active Value Fund Plc,NAVF,Financial Services ,United Kingdom,MAIN MARKET
Norcros Plc,NXR,Construction and Materials,United Kingdom,MAIN MARKET
North American Income Trust (The) Plc,NAIT,Financial Services ,United Kingdom,MAIN MARKET
North Atlantic Smaller Companies Investment Trust Plc,NAS,Financial Services ,United Kingdom,MAIN MARKET
Northern 2 Vct Plc,NTV,Financial Services ,United Kingdom,MAIN MARKET
Northern 3 Vct Plc,NTN,Financial Services ,United Kingdom,MAIN MARKET
Northern Electric Plc,NTEA,Utilities,United Kingdom,MAIN MARKET
Northern Venture Trust Plc,NVT,Financial Services ,United Kingdom,MAIN MARKET
Nostrum Oil & Gas Plc,NOG,Energy,United Kingdom,MAIN MARKET
Nuformix Plc,NFX,Health Care  ,United Kingdom,MAIN MARKET
Ocado Group Plc,OCDO,"Personal Care, Drug and Grocery Stores ",United Kingdom,MAIN MARKET
Ocean Wilsons (Holdings) Ld,OCN,Industrial Goods and Services,Bermuda,MAIN MARKET
Octopus Aim Vct 2 Plc,OSEC,Financial Services ,United Kingdom,MAIN MARKET
Octopus Aim Vct Plc,OOA,Financial Services ,United Kingdom,MAIN MARKET
Octopus Apollo Vct Plc,OAP3,Financial Services ,United Kingdom,MAIN MARKET
Octopus Future Generations Vct Plc,OFG,Financial Services ,United Kingdom,MAIN MARKET
Octopus Renewables Infrastructure Trust Plc,ORIT,Financial Services ,United Kingdom,MAIN MARKET
Octopus Titan Vct Plc,OTV2,Financial Services ,United Kingdom,MAIN MARKET
Odyssean Investment Trust Plc,OIT,Financial Services ,United Kingdom,MAIN MARKET
Old Mutual Limited,OMU,Insurance,South Africa,MAIN MARKET
On The Beach Group Plc,OTB,Travel and Leisure,United Kingdom,MAIN MARKET
Ondo Insurtech Plc,ONDO,Industrial Goods and Services,United Kingdom,MAIN MARKET
One Heritage Group Plc,OHG,Real Estate ,United Kingdom,MAIN MARKET
Oneiro Energy Plc,ONE,Financial Services ,United Kingdom,MAIN MARKET
Orient Telecoms Plc,ORNT,Technology,United Kingdom,MAIN MARKET
Oryx International Growth Fund Ltd,OIG,Financial Services ,Guernsey,MAIN MARKET
Osb Group Plc,OSB,Financial Services ,United Kingdom,MAIN MARKET
Oxford Biomedica Plc,OXB,Health Care  ,United Kingdom,MAIN MARKET
Oxford Cannabinoid Technologies Holdings Plc,OCTP,Health Care  ,United Kingdom,MAIN MARKET
Oxford Instruments Plc,OXIG,Industrial Goods and Services,United Kingdom,MAIN MARKET
Oxford Nanopore Technologies Plc,ONT,Health Care  ,United Kingdom,MAIN MARKET
Oxford Technology 2 Venture Capital Trust Plc,OT1,Financial Services ,United Kingdom,MAIN MARKET
Oxford Technology 2 Venture Capital Trust Plc,OT3,Financial Services ,United Kingdom,MAIN MARKET
Oxford Technology 2 Venture Capital Trust Plc,OT4,Financial Services ,United Kingdom,MAIN MARKET
Oxford Technology 2 Venture Capital Trust Plc,OXH,Financial Services ,United Kingdom,MAIN MARKET
Pacific Assets Trust Plc,PAC,Financial Services ,United Kingdom,MAIN MARKET
Pacific Horizon Investment Trust Plc,PHI,Financial Services ,United Kingdom,MAIN MARKET
Pagegroup Plc,PAGE,Industrial Goods and Services,United Kingdom,MAIN MARKET
Palace Capital Plc,PCA,Real Estate ,United Kingdom,MAIN MARKET
Pantheon Infrastructure Plc,PINT,Financial Services ,United Kingdom,MAIN MARKET
Pantheon International Plc,PIN,Financial Services ,United Kingdom,MAIN MARKET
Panther Metals Plc,PALM,Basic Resources,Isle of Man,MAIN MARKET
Paragon Banking Group Plc,PAG,Financial Services ,United Kingdom,MAIN MARKET
Paypoint Plc,PAY,Industrial Goods and Services,United Kingdom,MAIN MARKET
Pcgh Zdp Plc,PGHZ,Financial Services ,United Kingdom,MAIN MARKET
Pearson Plc,PSON,Media,United Kingdom,MAIN MARKET
Pembroke Vct Plc,PEMB,Financial Services ,United Kingdom,MAIN MARKET
Pendragon Plc,PDG,Retail ,United Kingdom,MAIN MARKET
Pennon Group Plc,PNN,Utilities,United Kingdom,MAIN MARKET
Pennpetro Energy Plc,PPP,Energy,United Kingdom,MAIN MARKET
Pensana Plc,PRE,Basic Resources,United Kingdom,MAIN MARKET
Pensionbee Group Plc,PBEE,Financial Services ,United Kingdom,MAIN MARKET
Permanent Tsb Group Holdings Plc,PTSB,Banks,Ireland,MAIN MARKET
Pershing Square Holdings Ltd,PSH,Financial Services ,Guernsey,MAIN MARKET
Pershing Square Holdings Ltd,PSHD,Financial Services ,Guernsey,MAIN MARKET
Persimmon Plc,PSN,Consumer Products and Services,United Kingdom,MAIN MARKET
Personal Assets Trust Plc,PNL,Financial Services ,United Kingdom,MAIN MARKET
Petershill Partners Plc,PHLL,Financial Services ,United Kingdom,MAIN MARKET
Petra Diamonds Limited,PDL,Basic Resources,Bermuda,MAIN MARKET
Petrofac Limited,PFC,Energy,Jersey,MAIN MARKET
Pets At Home Group Plc,PETS,Retail ,United Kingdom,MAIN MARKET
Pharos Energy Plc,PHAR,Energy,United Kingdom,MAIN MARKET
Phoenix Group Holdings Plc,PHNX,Insurance,United Kingdom,MAIN MARKET
Phoenix Spree Deutschland Limited,PSDL,Real Estate ,Jersey,MAIN MARKET
Picton Property Income Ld,PCTN,Real Estate ,Guernsey,MAIN MARKET
Pineapple Power Corporation Plc,PNPL,Financial Services ,United Kingdom,MAIN MARKET
Playtech Plc,PTEC,Travel and Leisure,Isle of Man,MAIN MARKET
Plaza Centers N.V.,PLAZ,Real Estate ,Netherlands,MAIN MARKET
Plus500 Ltd,PLUS,Financial Services ,Israel,MAIN MARKET
Pmgr Securities 2025 Plc,PMGZ,,United Kingdom,MAIN MARKET
Pod Point Group Holdings Plc,PODP,Energy,United Kingdom,MAIN MARKET
Polar Capital Global Financials Trust Plc,PCFT,Financial Services ,United Kingdom,MAIN MARKET
Polar Capital Global Healthcare Trust Plc,PCGH,Financial Services ,United Kingdom,MAIN MARKET
Polar Capital Technology Trust Plc,PCT,Financial Services ,United Kingdom,MAIN MARKET
Pollen Street Plc,POLN,Financial Services ,United Kingdom,MAIN MARKET
Porvair Plc,PRV,Industrial Goods and Services,United Kingdom,MAIN MARKET
Pphe Hotel Group Limited,PPH,Travel and Leisure,Guernsey,MAIN MARKET
Predator Oil & Gas Holdings Plc,PRD,Energy,Jersey,MAIN MARKET
Premier Foods Plc,PFD,"Food, Beverage and Tobacco ",United Kingdom,MAIN MARKET
Premier Miton Global Renewables Trust Plc,PMGR,Financial Services ,United Kingdom,MAIN MARKET
Primary Health Properties Plc,PHP,Real Estate ,United Kingdom,MAIN MARKET
Princess Private Equity Holding Limited,PEY,Financial Services ,Guernsey,MAIN MARKET
Princess Private Equity Holding Limited,PEYS,Financial Services ,Guernsey,MAIN MARKET
Procook Group Plc,PROC,Consumer Products and Services,United Kingdom,MAIN MARKET
Proven Growth & Income Vct Plc,PGOO,Financial Services ,United Kingdom,MAIN MARKET
Proven Vct Plc,PVN,Financial Services ,United Kingdom,MAIN MARKET
Prs Reit (The) Plc,PRSR,Real Estate ,United Kingdom,MAIN MARKET
Prudential Plc,PRU,Insurance,United Kingdom,MAIN MARKET
Puma Alpha Vct Plc,PUAL,Financial Services ,United Kingdom,MAIN MARKET
Puma Vct 13 Plc,PU13,Financial Services ,United Kingdom,MAIN MARKET
Puretech Health Plc,PRTC,Health Care  ,United Kingdom,MAIN MARKET
Pyx Resources Limited,PYX,Basic Resources,Australia,MAIN MARKET
Pz Cussons Plc,PZC,"Personal Care, Drug and Grocery Stores ",United Kingdom,MAIN MARKET
Qinetiq Group Plc,QQ.,Industrial Goods and Services,United Kingdom,MAIN MARKET
Quarto Group Incorporated,QRT,Media,United States,MAIN MARKET
Quilter Plc,QLT,Financial Services ,United Kingdom,MAIN MARKET
R.E.A. Holdings Plc,RE.,"Food, Beverage and Tobacco ",United Kingdom,MAIN MARKET
R.E.A. Holdings Plc,RE.B,"Food, Beverage and Tobacco ",United Kingdom,MAIN MARKET
R8 Capital Investments Plc,MODE,Financial Services ,United Kingdom,MAIN MARKET
Rainbow Rare Earths Limited,RBW,Basic Resources,Guernsey,MAIN MARKET
Rank Group Plc,RNK,Travel and Leisure,United Kingdom,MAIN MARKET
Rathbones Group Plc,RAT,Financial Services ,United Kingdom,MAIN MARKET
Rc365 Holding Plc,RCGH,Industrial Goods and Services,United Kingdom,MAIN MARKET
Reach Plc,RCH,Media,United Kingdom,MAIN MARKET
Real Estate Credit Investments Limited,RECI,Financial Services ,Guernsey,MAIN MARKET
Reckitt Benckiser Group Plc,RKT,"Personal Care, Drug and Grocery Stores ",United Kingdom,MAIN MARKET
Record Plc,REC,Financial Services ,United Kingdom,MAIN MARKET
Red Capital Plc,REDC,Financial Services ,Jersey,MAIN MARKET
Redde Northgate Plc,67GX,Industrial Goods and Services,United Kingdom,MAIN MARKET
Redde Northgate Plc,REDD,Industrial Goods and Services,United Kingdom,MAIN MARKET
Redrow Plc,RDW,Consumer Products and Services,United Kingdom,MAIN MARKET
Regional Reit Limited,RGL,Real Estate ,Guernsey,MAIN MARKET
Regtech Open Project Plc,RTOP,Technology,United Kingdom,MAIN MARKET
Relx Plc,REL,Media,United Kingdom,MAIN MARKET
Renewi Plc,RWI,Utilities,United Kingdom,MAIN MARKET
Renishaw Plc,RSW,Industrial Goods and Services,United Kingdom,MAIN MARKET
Rentokil Initial Plc,RTO,Industrial Goods and Services,United Kingdom,MAIN MARKET
Residential Secure Income Plc,RESI,Real Estate ,United Kingdom,MAIN MARKET
Resolute Mining Limited,RSG,Basic Resources,Australia,MAIN MARKET
Restaurant Group Plc,RTN,Travel and Leisure,United Kingdom,MAIN MARKET
Rhi Magnesita N.V.,RHIM,Chemicals,Netherlands,MAIN MARKET
Ricardo Plc,RCDO,Construction and Materials,United Kingdom,MAIN MARKET
Rightmove Plc,RMV,Real Estate ,United Kingdom,MAIN MARKET
Rights & Issues Investment Trust Plc,RIII,Financial Services ,United Kingdom,MAIN MARKET
Rio Tinto Plc,RIO,Basic Resources,United Kingdom,MAIN MARKET
Rit Capital Partners Plc,RCP,Financial Services ,United Kingdom,MAIN MARKET
River And Mercantile Uk Micro Cap Investment Company Limited,RMMC,Financial Services ,Guernsey,MAIN MARKET
Riverstone Energy Limited,RSE,Financial Services ,Guernsey,MAIN MARKET
Rm Infrastructure Income Plc,RMII,Financial Services ,United Kingdom,MAIN MARKET
Rm Plc,RM.,Consumer Products and Services,United Kingdom,MAIN MARKET
Robert Walters Plc,RWA,Industrial Goods and Services,United Kingdom,MAIN MARKET
Rockpool Acquisitions Plc,ROC,Financial Services ,United Kingdom,MAIN MARKET
Rockwood Strategic Plc,RKW,Financial Services ,United Kingdom,MAIN MARKET
Rolls-Royce Holdings Plc,RR.,Industrial Goods and Services,United Kingdom,MAIN MARKET
Roquefort Therapeutics Plc,ROQ,Health Care  ,United Kingdom,MAIN MARKET
Ross Group Plc,RGP,Industrial Goods and Services,United Kingdom,MAIN MARKET
Rotork Plc,76ID,Industrial Goods and Services,United Kingdom,MAIN MARKET
Rotork Plc,ROR,Industrial Goods and Services,United Kingdom,MAIN MARKET
Rs Group Plc,RS1,Industrial Goods and Services,United Kingdom,MAIN MARKET
Rsa Insurance Group Limited,RSAB,Insurance,United Kingdom,MAIN MARKET
Rtw Biotech Opportunities Ltd,RTW,Financial Services ,Guernsey,MAIN MARKET
Rtw Biotech Opportunities Ltd,RTWG,Financial Services ,Guernsey,MAIN MARKET
Ruffer Investment Company Ltd,RICA,Financial Services ,Guernsey,MAIN MARKET
S & U Plc,46IE,Financial Services ,United Kingdom,MAIN MARKET
S & U Plc,47IE,Financial Services ,United Kingdom,MAIN MARKET
S & U Plc,SUS,Financial Services ,United Kingdom,MAIN MARKET
S4 Capital Plc,SFOR,Media,United Kingdom,MAIN MARKET
Sabre Insurance Group Plc,SBRE,Insurance,United Kingdom,MAIN MARKET
Safestore Holdings Plc,SAFE,Real Estate ,United Kingdom,MAIN MARKET
Saga Plc,SAGA,Travel and Leisure,United Kingdom,MAIN MARKET
Sage Group Plc,SGE,Technology,United Kingdom,MAIN MARKET
Sainsbury (J) Plc,SBRY,"Personal Care, Drug and Grocery Stores ",United Kingdom,MAIN MARKET
Sancus Lending Group Limited,LENZ,Financial Services ,United Kingdom,MAIN MARKET
Santander Uk Plc,SANB,Banks,United Kingdom,MAIN MARKET
Savills Plc,SVS,Real Estate ,United Kingdom,MAIN MARKET
Schroder Asian Total Return Investment Company Plc,ATR,Financial Services ,United Kingdom,MAIN MARKET
Schroder Asiapacific Fund Plc,SDP,Financial Services ,United Kingdom,MAIN MARKET
Schroder British Opportunities Trust Plc,SBO,Financial Services ,United Kingdom,MAIN MARKET
Schroder Bsc Social Impact Trust Plc,SBSI,Financial Services ,United Kingdom,MAIN MARKET
Schroder European Real Estate Investment Trust Plc,SERE,Real Estate ,United Kingdom,MAIN MARKET
Schroder Income Growth Fund Plc,SCF,Financial Services ,United Kingdom,MAIN MARKET
Schroder Japan Trust Plc,SJG,Financial Services ,United Kingdom,MAIN MARKET
Schroder Oriental Income Fund Limited,SOI,Financial Services ,Guernsey,MAIN MARKET
Schroder Real Estate Investment Trust Limited,SREI,Real Estate ,Guernsey,MAIN MARKET
Schroder Uk Mid Cap Fund Plc,SCP,Financial Services ,United Kingdom,MAIN MARKET
Schroders Capital Global Innovation Trust Plc,INOV,Financial Services ,United Kingdom,MAIN MARKET
Schroders Plc,SDR,Financial Services ,United Kingdom,MAIN MARKET
Scottish American Investment Co. Plc,SAIN,Financial Services ,United Kingdom,MAIN MARKET
Scottish Mortgage Investment Trust Plc,SMT,Financial Services ,United Kingdom,MAIN MARKET
Scottish Oriental Smaller Companies Trust Plc,SST,Financial Services ,United Kingdom,MAIN MARKET
Scs Group Plc,SCS,Retail ,United Kingdom,MAIN MARKET
Sdcl Energy Efficiency Income Trust Plc,SEIT,Financial Services ,United Kingdom,MAIN MARKET
Sdv 2025 Zdp Plc,SDVP,Financial Services ,United Kingdom,MAIN MARKET
Sealand Capital Galaxy Limited,SCGL,Technology,Cayman Islands,MAIN MARKET
Secure Trust Bank Plc,STB,Banks,United Kingdom,MAIN MARKET
Seed Capital Solutions Plc,SCSP,Financial Services ,United Kingdom,MAIN MARKET
Segro Plc,SGRO,Real Estate ,United Kingdom,MAIN MARKET
Seneca Growth Capital Vct Plc,HYG,Financial Services ,United Kingdom,MAIN MARKET
Seneca Growth Capital Vct Plc,SVCT,Financial Services ,United Kingdom,MAIN MARKET
Senior Plc,SNR,Industrial Goods and Services,United Kingdom,MAIN MARKET
Seplat Energy Plc,SEPL,Energy,Nigeria,MAIN MARKET
Sequoia Economic Infrastructure Income Fund Limited,SEQI,Financial Services ,Guernsey,MAIN MARKET
Seraphim Space Investment Trust Plc,SSIT,Financial Services ,United Kingdom,MAIN MARKET
Serco Group Plc,SRP,Industrial Goods and Services,United Kingdom,MAIN MARKET
Severfield Plc,SFR,Construction and Materials,United Kingdom,MAIN MARKET
Severn Trent Plc,SVT,Utilities,United Kingdom,MAIN MARKET
Shaftesbury Capital Plc,SHC,Real Estate ,United Kingdom,MAIN MARKET
Shefa Gems Ltd,SEFA,Basic Resources,Israel,MAIN MARKET
Shell Plc,SHEL,Energy,United Kingdom,MAIN MARKET
Shires Income Plc,SHRS,Financial Services ,United Kingdom,MAIN MARKET
Sig Plc,SHI,Industrial Goods and Services,United Kingdom,MAIN MARKET
Sirius Real Estate Ld,SRE,Real Estate ,Guernsey,MAIN MARKET
Sivota Plc,SIV,Technology,United Kingdom,MAIN MARKET
Slf Realisation Fund Limited,SLFR,Financial Services ,Guernsey,MAIN MARKET
Slf Realisation Fund Limited,SLFX,Financial Services ,Guernsey,MAIN MARKET
Smart (J.) & Co. (Contractors) Plc,SMJ,Construction and Materials,United Kingdom,MAIN MARKET
Smith & Nephew Plc,SN.,Health Care  ,United Kingdom,MAIN MARKET
Smith (Ds) Plc,SMDS,Industrial Goods and Services,United Kingdom,MAIN MARKET
Smiths Group Plc,SMIN,Industrial Goods and Services,United Kingdom,MAIN MARKET
Smiths News Plc,SNWS,Industrial Goods and Services,United Kingdom,MAIN MARKET
Smithson Investment Trust Plc,SSON,Financial Services ,United Kingdom,MAIN MARKET
Smurfit Kappa Group Plc,SKG,Industrial Goods and Services,Ireland,MAIN MARKET
Softcat Plc,SCT,Technology,United Kingdom,MAIN MARKET
Solgold Plc,SOLG,Basic Resources,United Kingdom,MAIN MARKET
South32 Limited,S32,Basic Resources,Australia,MAIN MARKET
Spectris Plc,SXS,Industrial Goods and Services,United Kingdom,MAIN MARKET
Speedy Hire Plc,SDY,Industrial Goods and Services,United Kingdom,MAIN MARKET
Spirax-Sarco Engineering Plc,SPX,Industrial Goods and Services,United Kingdom,MAIN MARKET
Spire Healthcare Group Plc,SPI,Health Care  ,United Kingdom,MAIN MARKET
Spirent Communications Plc,SPT,Telecommunications,United Kingdom,MAIN MARKET
Spiritus Mundi Plc,SPMU,Financial Services ,United Kingdom,MAIN MARKET
Sse Plc,SSE,Utilities,United Kingdom,MAIN MARKET
Ssp Group Plc,SSPG,Travel and Leisure,United Kingdom,MAIN MARKET
St. James'S Place Plc,STJ,Financial Services ,United Kingdom,MAIN MARKET
Standard Chartered Plc,STAN,Banks,United Kingdom,MAIN MARKET
Starcrest Education Limited,OBOR,Financial Services ,Cayman Islands,MAIN MARKET
Starwood European Real Estate Finance Limited,SWEF,Financial Services ,Guernsey,MAIN MARKET
Stelrad Group Plc,SRAD,Construction and Materials,United Kingdom,MAIN MARKET
Sthree Plc,STEM,Industrial Goods and Services,United Kingdom,MAIN MARKET
Strategic Equity Capital Plc,SEC,Financial Services ,United Kingdom,MAIN MARKET
Streaksai Plc,STK,Consumer Products and Services,United Kingdom,MAIN MARKET
Sts Global Income & Growth Trust Plc,STS,Financial Services ,United Kingdom,MAIN MARKET
Stv Group Plc,STVG,Media,United Kingdom,MAIN MARKET
Superdry Plc,SDRY,Consumer Products and Services,United Kingdom,MAIN MARKET
Supermarket Income Reit Plc,SUPR,Real Estate ,United Kingdom,MAIN MARKET
Supply@Me Capital Plc,SYME,Technology,United Kingdom,MAIN MARKET
Svm Uk Emerging Fund Plc,SVM,Financial Services ,United Kingdom,MAIN MARKET
Symphony International Holdings Ld,SIHL,Financial Services ,British Virgin Islands,MAIN MARKET
Syncona Limited,SYNC,Financial Services ,Guernsey,MAIN MARKET
Synthomer Plc,SYNT,Chemicals,United Kingdom,MAIN MARKET
Target Healthcare Reit Plc,THRL,Real Estate ,United Kingdom,MAIN MARKET
Taseko Mines Limited,TKO,Basic Resources,Canada,MAIN MARKET
Tate & Lyle Plc,TATE,"Food, Beverage and Tobacco ",United Kingdom,MAIN MARKET
Taylor Maritime Investments Limited,TMI,Financial Services ,Guernsey,MAIN MARKET
Taylor Maritime Investments Limited,TMIP,Financial Services ,Guernsey,MAIN MARKET
Taylor Wimpey Plc,TW.,Consumer Products and Services,United Kingdom,MAIN MARKET
Tbc Bank Group Plc,TBCG,Banks,United Kingdom,MAIN MARKET
Tclarke Plc,CTO,Construction and Materials,United Kingdom,MAIN MARKET
Technology Minerals Plc,TM1,Basic Resources,United Kingdom,MAIN MARKET
Telecom Plus Plc,TEP,Telecommunications,United Kingdom,MAIN MARKET
Temple Bar Investment Trust Plc,TMPL,Financial Services ,United Kingdom,MAIN MARKET
Templeton Emerging Markets Investment Trust Plc,TEM,Financial Services ,United Kingdom,MAIN MARKET
Ten Entertainment Group Plc,TEG,Travel and Leisure,United Kingdom,MAIN MARKET
Tertre Rouge Assets Plc,TRA,Financial Services ,United Kingdom,MAIN MARKET
Tesco Plc,TSCO,"Personal Care, Drug and Grocery Stores ",United Kingdom,MAIN MARKET
Thalassa Holdings Limited,THAL,Technology,British Virgin Islands,MAIN MARKET
Thames Ventures Vct 1 Plc,TV1,Financial Services ,United Kingdom,MAIN MARKET
Thames Ventures Vct 2 Plc,D467,Financial Services ,United Kingdom,MAIN MARKET
Thames Ventures Vct 2 Plc,DO1D,Financial Services ,United Kingdom,MAIN MARKET
Thames Ventures Vct 2 Plc,TV2A,Financial Services ,United Kingdom,MAIN MARKET
Thames Ventures Vct 2 Plc,TV2H,Financial Services ,United Kingdom,MAIN MARKET
Thames Ventures Vct 2 Plc,TV2V,Financial Services ,United Kingdom,MAIN MARKET
Tharisa Plc,THS,Basic Resources,Cyprus,MAIN MARKET
The European Smaller Companies Trust Plc,ESCT,Financial Services ,United Kingdom,MAIN MARKET
The Global Smaller Companies Trust Plc,GSCT,Financial Services ,United Kingdom,MAIN MARKET
The Gym Group Plc,GYM,Travel and Leisure,United Kingdom,MAIN MARKET
The Renewables Infrastructure Group Limited,TRIG,Financial Services ,Guernsey,MAIN MARKET
Theworks.Co.Uk Plc,WRKS,Retail ,United Kingdom,MAIN MARKET
Thg Plc,THG,"Personal Care, Drug and Grocery Stores ",United Kingdom,MAIN MARKET
Third Point Investors Limited,TPOS,Financial Services ,Guernsey,MAIN MARKET
Third Point Investors Limited,TPOU,Financial Services ,Guernsey,MAIN MARKET
Thungela Resources Limited,TGA,Energy,South Africa,MAIN MARKET
Ti Fluid Systems Plc,TIFS,Automobiles and Parts,United Kingdom,MAIN MARKET
Tirupati Graphite Plc,TGR,Basic Resources,United Kingdom,MAIN MARKET
Tmt Acquisition Plc,TMAA,Financial Services ,United Kingdom,MAIN MARKET
Tmt Acquisition Plc,TMTA,Financial Services ,United Kingdom,MAIN MARKET
Toople Plc,TOOP,Telecommunications,United Kingdom,MAIN MARKET
Topps Tiles Plc,TPT,Retail ,United Kingdom,MAIN MARKET
Totalenergies Se,TTE,Energy,France,MAIN MARKET
Town Centre Securities Plc,TOWN,Real Estate ,United Kingdom,MAIN MARKET
Toyota Motor Corporation,TYT,Automobiles and Parts,Japan,MAIN MARKET
Tp Icap Group Plc,TCAP,Financial Services ,Jersey,MAIN MARKET
Tr Property Investment Trust Plc,TRY,Financial Services ,United Kingdom,MAIN MARKET
Trainline Plc,TRN,Travel and Leisure,United Kingdom,MAIN MARKET
Travis Perkins Plc,TPK,Industrial Goods and Services,United Kingdom,MAIN MARKET
Treatt Plc,TET,Chemicals,United Kingdom,MAIN MARKET
Triad Group Plc,TRD,Technology,United Kingdom,MAIN MARKET
Trifast Plc,TRI,Industrial Goods and Services,United Kingdom,MAIN MARKET
Triple Point Energy Transition Plc,TENT,Financial Services ,United Kingdom,MAIN MARKET
Triple Point Social Housing Reit Plc,SOHO,Real Estate ,United Kingdom,MAIN MARKET
Triple Point Venture Vct Plc,TPV,Financial Services ,United Kingdom,MAIN MARKET
Tritax Big Box Reit Plc,BBOX,Real Estate ,United Kingdom,MAIN MARKET
Tritax Eurobox Plc,BOXE,Real Estate ,United Kingdom,MAIN MARKET
Tritax Eurobox Plc,EBOX,Real Estate ,United Kingdom,MAIN MARKET
Troy Income & Growth Trust Plc,TIGT,Financial Services ,United Kingdom,MAIN MARKET
Trustpilot Group Plc,TRST,Technology,United Kingdom,MAIN MARKET
Tt Electronics Plc,TTG,Technology,United Kingdom,MAIN MARKET
Tui Ag,TUI,Travel and Leisure,Germany,MAIN MARKET
Tullow Oil Plc,TLW,Energy,United Kingdom,MAIN MARKET
Twentyfour Income Fund Limited,TFIF,Financial Services ,Guernsey,MAIN MARKET
Twentyfour Select Monthly Income Fund Limited,SMIF,Financial Services ,Guernsey,MAIN MARKET
Tyman Plc,TYMN,Construction and Materials,United Kingdom,MAIN MARKET
Uae Oil Services Plc,UOS,Financial Services ,Isle of Man,MAIN MARKET
Uil Finance Limited,UTLG,Financial Services ,Bermuda,MAIN MARKET
Uil Finance Limited,UTLH,Financial Services ,Bermuda,MAIN MARKET
Uil Finance Limited,UTLI,Financial Services ,Bermuda,MAIN MARKET
Uk Commercial Property Reit Limited,UKCM,Real Estate ,Guernsey,MAIN MARKET
Ultimate Products Plc,ULTP,Consumer Products and Services,United Kingdom,MAIN MARKET
Unicorn Aim Vct Plc,UAV,Financial Services ,United Kingdom,MAIN MARKET
Unicorn Mineral Resources Plc,UMR,Basic Resources,Ireland,MAIN MARKET
Unilever Plc,ULVR,"Personal Care, Drug and Grocery Stores ",United Kingdom,MAIN MARKET
Unisys Corporation,USY,Technology,United States,MAIN MARKET
Unite Group Plc,UTG,Real Estate ,United Kingdom,MAIN MARKET
United Utilities Group Plc,UU.,Utilities,United Kingdom,MAIN MARKET
Upland Resources Limited,UPL,Energy,Jersey,MAIN MARKET
Ura Holdings Plc,URAH,Basic Resources,United Kingdom,MAIN MARKET
Urban Logistics Reit Plc,SHED,Real Estate ,United Kingdom,MAIN MARKET
Us Solar Fund Plc,USF,Financial Services ,United Kingdom,MAIN MARKET
Us Solar Fund Plc,USFP,Financial Services ,United Kingdom,MAIN MARKET
Utilico Emerging Markets Trust Plc,UEM,Financial Services ,United Kingdom,MAIN MARKET
"Vaalco Energy, Inc.",EGY,Energy,United States,MAIN MARKET
Value And Indexed Property Income Trust Plc,VIP,Financial Services ,United Kingdom,MAIN MARKET
Vanquis Banking Group Plc,VANQ,Financial Services ,United Kingdom,MAIN MARKET
Vesuvius Plc,VSVS,Industrial Goods and Services,United Kingdom,MAIN MARKET
Vh Global Sustainable Energy Opportunities Plc,GSEO,Financial Services ,United Kingdom,MAIN MARKET
Victrex Plc,VCT,Chemicals,United Kingdom,MAIN MARKET
Videndum Plc,VID,Industrial Goods and Services,United Kingdom,MAIN MARKET
Vietnam Enterprise Investments Limited,VEIL,Financial Services ,Cayman Islands,MAIN MARKET
Vietnam Holding Limited,VNH,Financial Services ,Guernsey,MAIN MARKET
Vinacapital Vietnam Opportunity Fund Ld,VOF,Financial Services ,Guernsey,MAIN MARKET
Virgin Money Uk Plc,VMUK,Banks,United Kingdom,MAIN MARKET
Vistry Group Plc,VTY,Consumer Products and Services,United Kingdom,MAIN MARKET
